Name,Postcode,Workers_count,Latitude,Longitude
"Postcode 1, W1K 6TN",W1K 6TN,110,51.513186,-0.152477975
"Postcode 2, RM10 9UR",RM10 9UR,47,51.539687,0.160717024
"Postcode 3, CR2 0LY",CR2 0LY,87,51.347431,-0.094462988
"Postcode 4, SE27 0DJ",SE27 0DJ,186,51.429885,-0.103331976
"Postcode 5, CR8 5JR",CR8 5JR,11,51.317856,-0.107381975
"Postcode 6, W2 1BQ",W2 1BQ,1467,51.518717,-0.173210989
"Postcode 7, E14 9TF",E14 9TF,193,51.507877,-0.011413988
"Postcode 8, W1B 4BH",W1B 4BH,29,51.511107,-0.140300976
"Postcode 9, EC2Y 5EJ",EC2Y 5EJ,1915,51.517943,-0.090176976
"Postcode 10, RM1 3PP",RM1 3PP,49,51.579917,0.179553012
"Postcode 11, CR9 1PD",CR9 1PD,5,51.373582,-0.099969975
"Postcode 12, N8 7FB",N8 7FB,10,51.587988,-0.116822989
"Postcode 13, N8 7LA",N8 7LA,31,51.586373,-0.121707975
"Postcode 14, W1S 3DY",W1S 3DY,35,51.50976,-0.138712975
"Postcode 15, W1S 3SW",W1S 3SW,4,51.510033,-0.141868976
"Postcode 16, W1W 8BZ",W1W 8BZ,9,51.517031,-0.139753976
"Postcode 17, BR1 1PE",BR1 1PE,1,51.408038,0.012278024
"Postcode 18, W1K 5PB",W1K 5PB,32,51.513157,-0.150647976
"Postcode 19, W1K 5RY",W1K 5RY,12,51.513916,-0.148037976
"Postcode 20, W1U 6NB",W1U 6NB,9,51.519972,-0.155676976
"Postcode 21, W1U 6RB",W1U 6RB,16,51.519582,-0.156614976
"Postcode 22, HA5 4QT",HA5 4QT,111,51.608033,-0.364895975
"Postcode 23, HA5 4JS",HA5 4JS,74,51.607253,-0.374815976
"Postcode 24, HA5 4LS",HA5 4LS,7,51.607312,-0.372575976
"Postcode 25, W1K 3NQ",W1K 3NQ,19,51.509883,-0.148906976
"Postcode 26, RM6 6PY",RM6 6PY,122,51.571011,0.130654025
"Postcode 27, N1 1JL",N1 1JL,65,51.54142,-0.111099976
"Postcode 28, EC3A 2BG",EC3A 2BG,454,51.513183,-0.078272988
"Postcode 29, N17 9UZ",N17 9UZ,60,51.598775,-0.058677976
"Postcode 30, W1D 5LE",W1D 5LE,8,51.512989,-0.130967975
"Postcode 31, NW9 9BS",NW9 9BS,60,51.591128,-0.284283989
"Postcode 32, N15 5RE",N15 5RE,85,51.580485,-0.085679975
"Postcode 33, N1 9EU",N1 9EU,42,51.533157,-0.109509988
"Postcode 34, N1 9ER",N1 9ER,52,51.533387,-0.108735976
"Postcode 35, N3 3RY",N3 3RY,25,51.596024,-0.199896975
"Postcode 36, NW1 0AD",NW1 0AD,48,51.537006,-0.140326976
"Postcode 37, NW10 1AQ",NW10 1AQ,2,51.549584,-0.239995988
"Postcode 38, NW10 3RB",NW10 3RB,35,51.54249,-0.232265976
"Postcode 39, NW7 4ET",NW7 4ET,5,51.625643,-0.238324976
"Postcode 40, RM2 5JU",RM2 5JU,2,51.583419,0.201488012
