Name,Count of Workers,Latitude,Longitude
BR1,24324,51.41107,0.02192
BR2,11510,51.38858,0.02237
BR3,12107,51.40297,-0.0302
BR4,3699,51.37559,-0.00695
BR5,9398,51.38983,0.10436
BR6,16988,51.36575,0.0932
BR7,4857,51.41019,0.07222
BR8,11,51.39751,0.1766
CM13,1,51.61564,0.33872
CR0,75416,51.37223,-0.07463
CR2,10713,51.34983,-0.07988
CR3,328,51.28687,-0.07964
CR4,10997,51.40415,-0.15813
CR5,5787,51.31211,-0.13886
CR6,105,51.30799,-0.05149
CR7,10149,51.39517,-0.10242
CR8,7563,51.33594,-0.11061
CR9,3907,51.37223,-0.07463
DA1,6732,51.44637,0.20915
DA14,10206,51.42475,0.11316
DA15,6791,51.44029,0.09948
DA16,5454,51.4644,0.10923
DA17,5108,51.48706,0.14917
DA18,2603,51.49165,0.14363
DA5,2662,51.44033,0.14698
DA6,5865,51.45484,0.14046
DA7,6315,51.46552,0.14672
DA8,9398,51.47574,0.17745
E1,72990,51.51766,-0.05841
E10,14679,51.56814,-0.01153
E11,14720,51.56769,0.01443
E12,5294,51.54992,0.05404
E13,10456,51.527,0.02705
E14,127046,51.5062,-0.01855
E15,22901,51.53911,0.00307
E16,19442,51.51083,0.02633
E17,23384,51.58623,-0.01796
E18,4188,51.59176,0.02705
E1W,26086,51.50775,-0.05739
E2,16351,51.52939,-0.0608
E20,13705,51.538611,-0.016389
E3,17526,51.52789,-0.02482
E4,17405,51.62196,-0.00339
E5,6238,51.55893,-0.05233
E6,16645,51.5256,0.05583
E7,9353,51.54678,0.02793
E8,18346,51.54202,-0.06315
E9,12221,51.54258,-0.04293
E98,9,51.513678,-0.060885
EC1A,72649,51.52019,-0.103
EC1M,13991,51.52106,-0.10152
EC1N,22717,51.52026,-0.10732
EC1R,15766,51.52475,-0.10713
EC1V,26451,51.52549,-0.09701
EC1Y,10747,51.52272,-0.0928
EC2A,42493,51.5226,-0.0856
EC2M,106266,51.51811,-0.08578
EC2N,36680,51.51631,-0.08586
EC2P,1031,51.5167,-0.09356
EC2R,35183,51.5164,-0.09162
EC2V,78715,51.51553,-0.0931
EC2Y,54753,51.52007,-0.09579
EC3A,51080,51.51534,-0.08158
EC3M,57005,51.51267,-0.08313
EC3N,56080,51.5126,-0.07881
EC3P,248,51.52016,-0.10156
EC3R,40230,51.51179,-0.08461
EC3V,34970,51.51361,-0.08597
EC4A,89918,51.51576,-0.10751
EC4M,64854,51.51475,-0.10034
EC4N,35675,51.51463,-0.09314
EC4P,916,51.524503,-0.112088
EC4R,50349,51.51191,-0.09181
EC4V,44350,51.51293,-0.09897
EC4Y,38609,51.51397,-0.10758
EN1,16958,51.6536,-0.06707
EN2,12862,51.6585,-0.09144
EN3,21749,51.65852,-0.03794
EN4,6267,51.6479,-0.15983
EN5,13005,51.64934,-0.19447
EN6,38,51.69942,-0.17656
EN7,1,51.71025,-0.0661
EN8,324,51.69799,-0.03189
EN9,4,51.69451,0.01427
HA0,15904,51.55024,-0.3037
HA1,30386,51.57948,-0.33581
HA2,11018,51.57349,-0.35768
HA3,17425,51.59274,-0.31945
HA4,16654,51.56971,-0.40977
HA5,9599,51.59455,-0.38436
HA6,6294,51.61032,-0.41991
HA7,10095,51.60965,-0.30727
HA8,16104,51.61094,-0.27255
HA9,28081,51.55898,-0.28606
IG1,16721,51.55855,0.07463
IG11,25623,51.53573,0.09378
IG2,6889,51.57373,0.08109
IG3,7222,51.56168,0.10074
IG4,1268,51.57688,0.05525
IG5,1286,51.58749,0.06584
IG6,7284,51.59247,0.08917
IG7,727,51.61316,0.08867
IG8,6764,51.60694,0.0335
IG9,77,51.62391,0.04004
KT1,21514,51.40713,-0.29606
KT2,15906,51.41602,-0.28854
KT22,60,51.3007,-0.33731
KT3,17805,51.39935,-0.25609
KT4,1353,51.37757,-0.24255
KT5,2148,51.39171,-0.28657
KT6,10746,51.3892,-0.2996
KT8,1404,51.40089,-0.36243
KT9,9555,51.36405,-0.30197
N1,45458,51.53717,-0.09652
N10,5273,51.59368,-0.14325
N11,7904,51.61338,-0.13812
N12,10931,51.61487,-0.17561
N13,7655,51.6191,-0.10176
N14,8799,51.63392,-0.1286
N15,12696,51.5819,-0.08166
N16,14999,51.5629,-0.07525
N17,15019,51.59791,-0.07088
N18,11398,51.61309,-0.06446
N19,8341,51.56464,-0.12712
N1C,8004,51.53637532,-0.124648552
N1P,32,51.538425,-0.103278
N2,5543,51.58957,-0.16797
N20,5340,51.62923,-0.17359
N21,6010,51.63612,-0.09816
N22,15222,51.59944,-0.1098
N3,11700,51.59984,-0.1921
N4,9242,51.57052,-0.1009
N5,4770,51.55337,-0.09729
N6,4896,51.57116,-0.14129
N7,18010,51.55277,-0.11607
N8,9826,51.58335,-0.11625
N9,10371,51.62825,-0.05659
NW1,67085,51.53252,-0.14286
NW10,52703,51.53951,-0.24641
NW11,9619,51.57831,-0.19584
NW1W,43,51.530784,-0.13543
NW2,17606,51.55797,-0.21829
NW3,18140,51.55184,-0.17093
NW4,14183,51.58682,-0.22294
NW5,10319,51.55139,-0.14209
NW6,14096,51.54142,-0.19442
NW7,7943,51.61488,-0.23484
NW8,9029,51.53117,-0.17175
NW9,22294,51.5864,-0.25472
RM1,13286,51.58175,0.18395
RM10,11109,51.54443,0.15909
RM11,6632,51.56939,0.21944
RM12,4802,51.55251,0.20852
RM13,10309,51.52397,0.19561
RM14,8346,51.55593,0.26496
RM2,2249,51.5832,0.20279
RM3,14615,51.60163,0.22679
RM4,1117,51.63255,0.16038
RM5,1903,51.59917,0.16602
RM6,6378,51.57549,0.13313
RM7,14312,51.5748,0.17063
RM8,7652,51.55662,0.13225
RM9,11923,51.54036,0.13582
SE1,349323,51.49838,-0.08949
SE10,18332,51.48162,-0.00089
SE11,15818,51.4888,-0.10862
SE12,6333,51.4443,0.02483
SE13,16527,51.45837,-0.0091
SE14,8444,51.47511,-0.0415
SE15,23349,51.47189,-0.06468
SE16,22779,51.49597,-0.05213
SE17,17251,51.48764,-0.09282
SE18,27492,51.48391,0.07412
SE19,4776,51.41735,-0.08424
SE1P,1598,51.492762,-0.080152
SE2,3543,51.48943,0.11759
SE20,3098,51.41151,-0.05716
SE21,6001,51.43807,-0.08626
SE22,14644,51.45401,-0.07119
SE23,6756,51.44015,-0.04875
SE24,4037,51.45446,-0.09853
SE25,7450,51.39742,-0.07501
SE26,8558,51.42674,-0.05364
SE27,4265,51.43022,-0.10097
SE28,5981,51.50219,0.10809
SE3,8041,51.46866,0.02015
SE4,4726,51.46058,-0.03348
SE5,37022,51.47322,-0.09055
SE6,14432,51.43777,-0.01432
SE7,5919,51.48369,0.03521
SE8,6625,51.48118,-0.02828
SE9,12584,51.44465,0.05651
SM1,4938,51.36599,-0.19127
SM2,3336,51.35258,-0.19611
SM3,3060,51.36992,-0.21267
SM4,8406,51.39219,-0.19886
SM5,3714,51.36741,-0.16679
SM6,3975,51.35984,-0.14267
SM7,173,51.32296,-0.20014
SW10,13053,51.48365,-0.18086
SW11,22009,51.4663,-0.16427
SW12,7337,51.44536,-0.14784
SW13,4015,51.47473,-0.24458
SW14,4605,51.46514,-0.26511
SW15,18873,51.45734,-0.22509
SW16,11773,51.42165,-0.12722
SW17,29844,51.4303,-0.16283
SW18,19802,51.4496,-0.18941
SW19,41628,51.42284,-0.20341
SW1A,20254,51.50265,-0.13111
SW1E,21764,51.49737,-0.13853
SW1H,19850,51.49818,-0.13273
SW1P,37790,51.49548,-0.13284
SW1V,12746,51.49016,-0.13738
SW1W,19850,51.49302,-0.14735
SW1X,13923,51.4976,-0.15293
SW1Y,21918,51.50539,-0.13388
SW2,8426,51.44939,-0.11889
SW20,8999,51.41058,-0.22547
SW3,23306,51.48969,-0.16477
SW4,12967,51.46045,-0.13571
SW5,5666,51.49005,-0.18781
SW6,24437,51.47675,-0.19986
SW7,22890,51.49614,-0.1746
SW8,15707,51.47566,-0.13077
SW9,12800,51.46907,-0.11232
