Name,Borough,Latitude,Longitude
Harlequin (Pub),Islington,51.53011015,-0.106106585
Peasant (Pub),Islington,51.52602648,-0.103263103
Blues Kitchen (Pub),Hackney,51.52656454,-0.079972313
Caraway Lounge (Pub),Havering,51.58518675,0.172746725
Rye (Pub),Southwark,51.46465241,-0.065397387
Eleven (Pub),Wandsworth,51.44285264,-0.148269453
Royal (Pub),Ealing,51.49829164,-0.326563108
Bitter End Bar (Pub),Bromley,51.39620558,0.025240084
Hope (Pub),Southwark,51.4735944,-0.071038176
Blues Kitchen (Pub),Lambeth,51.46031388,-0.120413124
Richmal Crompton (Pub),Bromley,51.39976786,0.016296907
Partridge (Pub),Bromley,51.40520721,0.014278858
Bar Sport (Pub),Bromley,51.40520721,0.014278858
Havet (Pub),Bromley,51.40610423,0.013886947
Greyhound (Pub),Bromley,51.40645877,0.013140475
Star & Garter (Pub),Bromley,51.4069289,0.012470961
Swan & Mitre (Pub),Bromley,51.40686514,0.011993667
Metropolis (Pub),Bromley,51.40686514,0.011993667
Barrel & Horn (Pub),Bromley,51.40596884,0.013392133
O'Neill's (Pub),Bromley,51.40673009,0.015668645
Railway Tavern (Pub),Bromley,51.40740413,0.01621594
Belgo (Pub),Bromley,51.40373227,0.035636808
Lord Holmesdale (Pub),Bromley,51.39995772,0.034980421
Oak (Pub),Bromley,51.40583618,0.034105495
Crown & Anchor (Pub),Bromley,51.40812908,0.021639983
Freelands Tavern (Pub),Bromley,51.4106138,0.024611251
White Horse (Pub),Bromley,51.40882539,0.02089423
Anglesey Arms (Pub),Bromley,51.40882539,0.02089423
Red Lion (Pub),Bromley,51.40997748,0.021879749
Hop & Rye (Pub),Bromley,51.4115616,0.009769753
Prince Frederick (Pub),Bromley,51.41575038,0.019301557
Bonnie's (Pub),Lewisham,51.42094726,-0.001626961
Downham Tavern (Pub),Lewisham,51.42762827,0.013136172
Shortlands Tavern (Pub),Bromley,51.40493024,0.004202094
Greyhound (Pub),Bromley,51.36354958,0.028584585
Fox Inn (Pub),Bromley,51.36135944,0.027310041
Crown Inn (Pub),Bromley,51.34203763,0.030205744
Kings Arms (Pub),Bromley,51.33520348,0.029645456
New Inn (Pub),Bromley,51.37599637,0.01130207
