Name,Postcode,Latitude,Longitude
AURORA MEDCARE,IG11 0LG,51.527941,0.10387556
DR GS KALKAT'S PRACTICE,IG11 0LG,51.527941,0.10387556
GP CARE UNREGISTERED SUBSTANCE MISUSERS,IG11 0LG,51.527941,0.10387556
CHILD & FAMILY HEALTH CENTRE,IG11 7LY,51.535409,0.078424
SHIFA MEDICAL PRACTICE,IG11 7RS,51.531371,0.081512428
THE WHITE HOUSE SURGERY,IG11 7UN,51.534005,0.088149992
CRI B&D RECOVERY SERVICE,IG11 8FE,51.538717,0.076483194
VICTORIA MEDICAL CENTRE,IG11 8GD,51.54096,0.076282445
LONDON AMBULANCE SERV NHS111 IUC CAS OOH,IG11 8HG,51.538938,0.078742854
ABBEY MEDICAL CENTRE,IG11 8RJ,51.542256,0.078216284
DR P PRASAD'S PRACTICE,IG11 9LD,51.542871,0.096257157
JOHN SMITH MEDICAL CENTRE,IG11 9LL,51.538691,0.11217286
BARKING MEDICAL GROUP PRACTICE,IG11 9LT,51.541307,0.097223615
BARKING HOSPITAL URGENT TREATMENT CENTRE,IG11 9LX,51.538871,0.098669045
HIGHGROVE SURGERY,IG11 9LX,51.538871,0.098669045
DR AA ANSARI'S PRACTICE,IG11 9RS,51.535352,0.094311082
DR R CHIBBER'S PRACTICE,IG11 9XQ,51.538832,0.08368429
LABURNUM HEALTH CENTRE,RM10 7DF,51.560495,0.1514593
TOGETHER FIRST,RM10 7DF,51.560495,0.1514593
BARKING DRUG & ALCOHOL RECOVERY,RM10 7UP,51.552415,0.16442113
THE OVAL PRACTICE,RM10 7YU,51.551484,0.15883782
DR C OLA'S PRACTICE,RM10 8AR,51.542348,0.16368374
DR DP SHAH'S PRACTICE,RM10 8EJ,51.545131,0.16000821
DR M FATEH'S PRACTICE,RM10 9AT,51.529546,0.15761231
HEATHWAY MEDICAL CENTRE,RM10 9HU,51.534808,0.15216548
THE CLINICAL ASSESSMENT SERVICE,RM10 9HU,51.534808,0.15216548
DAGENHAM WALK IN CENTRE,RM10 9HU,51.534808,0.15216548
PRIME PRACTICE PARTNERSHIP,RM10 9HU,51.534808,0.15216548
CARE UK CATS UROLOGY,RM10 9HU,51.534808,0.15216548
CARE UK CATS NEUROLOGY,RM10 9HU,51.534808,0.15216548
CARE UK CATS DERMATOLOGY,RM10 9HU,51.534808,0.15216548
CARE UK CATS GYNAECOLOGY,RM10 9HU,51.534808,0.15216548
DR M GOYAL'S PRACTICE,RM10 9RR,51.540066,0.15673988
PELC BARKING & DAGENHAM OOH,RM10 9SR,51.538967,0.15730802
MARKS GATE HEALTH CENTRE,RM6 5LL,51.584635,0.13702397
THE LAWNS MEDICAL CARE,RM6 5LL,51.584635,0.13702397
THE UPSTAIRS SURGERY,RM6 6RT,51.573715,0.14011965
DR SJ HASKELL,RM6 6RT,51.573715,0.14011965
DR A PATEL,RM6 6RT,51.573715,0.14011965
DR SANOMI,RM7 0XR,51.560727,0.1759684
DR P & S POOLOGANATHAN,RM7 0XR,51.560727,0.1759684
PBC SANOMI ENT,RM7 0XR,51.560727,0.1759684
RUSH GREEN WEEKEND SERVICE OOH,RM7 0XR,51.560727,0.1759684
COMMUNITY ENT SERVICE,RM7 0XR,51.560727,0.1759684
GREEN LANE SURGERY,RM8 1BX,51.561286,0.13376487
DR A ARIF,RM8 2AJ,51.551396,0.11527123
PORTERS AVENUE SURGERY,RM8 2EQ,51.545373,0.12260706
GABLES SURGERY,RM8 2LD,51.545711,0.11786324
DR AK MITTAL'S PRACTICE,RM8 2LD,51.545711,0.11786324
DR A MOGHAL'S PRACTICE,RM8 3HP,51.559373,0.1410476
DR SZ HAIDER'S PRACTICE,RM8 3RH,51.553086,0.13074125
TULASI MEDICAL CENTRE,RM8 3XU,51.561005,0.12448914
DR BK JAISWAL'S PRACTICE,RM9 4SR,51.538887,0.12572292
HALBUTT STREET SURGERY,RM9 5AS,51.546983,0.14681208
VENKAT HEALTH CENTRE,RM9 5QP,51.551311,0.13088913
FIVE ELMS MEDICAL PRACTICE,RM9 5TT,51.553352,0.14229391
ST ALBANS SURGERY,RM9 6EA,51.537122,0.13331215
DR KM ALKAISY PRACTICE,RM9 6EA,51.537122,0.13331215
HEDGEMANS MEDICAL CENTRE,RM9 6HT,51.539764,0.14327082
EAST BARNET HEALTH CENTRE,EN4 8QZ,51.646567,-0.16658786
EBHC DR P WESTON,EN4 8QZ,51.646567,-0.16658786
EBHC DR CJ PESKIN,EN4 8QZ,51.646567,-0.16658786
COMM ENT (THE PRACTICE),EN4 8QZ,51.646567,-0.16658786
THE VILLAGE SURGERY,EN4 8RF,51.648267,-0.16838391
STATION ROAD NEW BARNET SURGERY,EN5 1PH,51.649053,-0.17729989
ADDINGTON MEDICAL CENTRE,EN5 1QH,51.649667,-0.17685608
GLOUCESTER ROAD SURGERY,EN5 1RS,51.647272,-0.18305193
VALE DRIVE MEDICAL PRACTICE,EN5 2ED,51.648828,-0.19472713
DR MAKANJUOLA'S SURGERY,EN5 2ED,51.648828,-0.19472713
FAMILY PLANNING SERVICE,EN5 2ED,51.648828,-0.19472713
PRIMARY CARE DIABETES CLINIC,EN5 2ED,51.648828,-0.19472713
WESTSIDE CONTRACEPTIVE SERVICES,EN5 2ED,51.648828,-0.19472713
THE OLD COURT HOUSE SURGERY,EN5 4BB,51.652908,-0.20161964
LONGROVE SURGERY,EN5 4HT,51.65425,-0.20468916
ZAIN MEDICAL CENTRE,HA8 0AD,51.605819,-0.27187433
CGL BARNET,HA8 0AD,51.605819,-0.27187433
EDGWARE WIC,HA8 0AD,51.605819,-0.27187433
BDAS,HA8 0AD,51.605819,-0.27187433
COMM GYNAECOLOGY CLINIC1,HA8 0AD,51.605819,-0.27187433
COMM. CARDIOLOGY CLINIC,HA8 0AD,51.605819,-0.27187433
BARNET COPD SERVICE,HA8 0AD,51.605819,-0.27187433
BARNET RECOVERY CENTRE EDGWARE WDP,HA8 0AD,51.605819,-0.27187433
PARKINSON'S DAY UNIT-CLCH,HA8 0AD,51.605819,-0.27187433
OAK LODGE MEDICAL CENTRE,HA8 0AP,51.603671,-0.27071402
COLINDALE BURNT OAK HEALTHCARE LTD,HA8 0AP,51.603671,-0.27071402
BARNET FEDERATED GPS LIMITED,HA8 0AP,51.603671,-0.27071402
D-QIST CHIN ONE,HA8 0AP,51.603671,-0.27071402
WATLING MEDICAL CENTRE,HA8 0NR,51.603299,-0.26196288
MAKANJI HH-WOODCROFT MEDICAL CENTRE,HA8 0NR,51.603299,-0.26196288
MOODALEY D-WOODCROFT MEDICAL CENTRE,HA8 0NR,51.603299,-0.26196288
PARKVIEW SURGERY,HA8 0RW,51.606973,-0.25747567
JAI MEDICAL CENTRE,HA8 8NB,51.622043,-0.27754215
PLATINUM HEALTHCARE LIMITED,HA8 8NB,51.622043,-0.27754215
LANE END MEDICAL GROUP,HA8 9GJ,51.615296,-0.27485101
DR SP TALPAHEWA,HA8 9NT,51.616133,-0.26030264
PENSHURST GARDENS SURGERY,HA8 9TN,51.616129,-0.27281164
COLNEY HATCH LANE SURGERY,N10 1ET,51.600739,-0.14749668
BRUNSWICK PARK MEDICAL CENTRE,N11 1EY,51.629507,-0.14928697
HAMID CARETAKING,N11 1EY,51.629507,-0.14928697
FRIERN BARNET MEDICAL CENTRE,N11 3BU,51.613264,-0.15601405
HOLLY PARK CLINIC,N11 3HB,51.616127,-0.15104465
FINCHLEY WIC,N12 0JE,51.60541,-0.17644887
ELDERLY DAY CARE CENTRE,N12 0JE,51.60541,-0.17644887
COMM DIABETES CLINIC,N12 0JE,51.60541,-0.17644887
CLCHCOMMUROLOGY,N12 0JE,51.60541,-0.17644887
HOMELESS ACTION IN BARNET,N12 0RG,51.61215,-0.17447443
BARNET FED ANICOAG SERVICE,N12 8LY,51.612878,-0.17791168
NORTH LONDON HOSPICE,N12 8TT,51.616715,-0.17892801
NLHOSPICECARE TEAM,N12 8TT,51.616715,-0.17892801
