Name,Postcode,Latitude,Longitude
Sainsburys Local SW11 3BX,SW11 3BX,51.47085433,-0.170324704
Tesco Express SE13 6RT,SE13 6RT,51.44846329,-0.003753197
Sainsburys Local W2 1HB,W2 1HB,51.51905329,-0.179819814
Marks and Spencer Hospital NW3 2QG,NW3 2QG,51.5531882,-0.165299286
Budgens SE6 1TP,SE6 1TP,51.43340482,0.009206876
Little Waitrose Shell W5 3HJ,W5 3HJ,51.51634563,-0.290986835
Budgens HA5 2ET,HA5 2ET,51.58438416,-0.407711404
The Co-operative Food E5 9BQ,E5 9BQ,51.56404091,-0.052002366
Tesco Express SE1 8EQ,SE1 8EQ,51.50024289,-0.104318515
The Co-operative Food E1 4NX,E1 4NX,51.52544,-0.03838
Budgens SE27 9QY,SE27 9QY,51.42712598,-0.088705092
Sainsburys Local E3 3NT,E3 3NT,51.52455063,-0.011624206
Sainsburys Local N4 2UX,N4 2UX,51.56263765,-0.092158469
Tesco Express E14 9AB,E14 9AB,51.50192265,-0.025599786
Sainsburys Local NW1 9UJ,NW1 9UJ,51.54250593,-0.125862347
Tesco Express E14 3NX,E14 3NX,51.49937773,-0.009609103
Marks and Spencer BP CR2 8JH,CR2 8JH,51.35340332,-0.038093026
Sainsburys Local EC1R 4AE,EC1R 4AE,51.52805335,-0.104974366
Tesco Express RM10 8AJ,RM10 8AJ,51.54338105,0.165156516
Tesco Express SE1 7AA,SE1 7AA,51.49972034,-0.111976681
The Co-operative Food CR0 7NN,CR0 7NN,51.38562738,-0.040219627
Marks and Spencer BP TW5 0BT,TW5 0BT,51.47904051,-0.361911408
Tesco Express Esso EN3 5UT,EN3 5UT,51.66571033,-0.043029396
Sainsburys Local SW8 5BP,SW8 5BP,51.4815004,-0.138540222
Tesco Express Esso HA2 9DL,HA2 9DL,51.56478252,-0.366663747
Tesco Express Esso IG11 9BG,IG11 9BG,51.53340865,0.10555744
Tesco Express SW1P 2BW,SW1P 2BW,51.49654123,-0.130614162
Marks and Spencer BP SW20 8LR,SW20 8LR,51.40871959,-0.214274934
Sainsburys Local W3 6NR,W3 6NR,51.51505108,-0.268970219
Tesco Express Esso CR0 6AD,CR0 6AD,51.37935266,-0.083595214
Tesco Express Esso CR0 7ER,CR0 7ER,51.38156952,-0.062928611
Sainsburys Local E1 8NN,E1 8NN,51.51325374,-0.069898985
Sainsburys Local E1 8AA,E1 8AA,51.51335369,-0.073105943
Tesco Express E1 8AL,E1 8AL,51.5119556,-0.073450292
Tesco Express EC3A 7DH,EC3A 7DH,51.51449469,-0.07694846
The Co-operative Food SE9 2HB,SE9 2HB,51.44557,0.07773
Sainsburys Local SW12 8SY,SW12 8SY,51.4517548,-0.152880887
Waitrose W2 3HJ,W2 3HJ,51.51077453,-0.184029287
Tesco Express SE6 4LG,SE6 4LG,51.43567573,-0.034002903
The Co-operative Food SE16 4AU,SE16 4AU,51.49623008,-0.067633031
The Co-operative Food SE1 2DE,SE1 2DE,51.50030327,-0.073057067
Tesco Express E3 3QG,E3 3QG,51.51889864,-0.017088428
Tesco Express CR0 2JJ,CR0 2JJ,51.38669722,-0.096963489
The Co-operative Food SE4 2BN,SE4 2BN,51.45879857,-0.043876059
The Co-operative Food SE6 2RP,SE6 2RP,51.42902719,-0.013452006
Sainsburys Local SE6 4RE,SE6 4RE,51.44458589,-0.025577995
Sainsburys Local SE7 7AG,SE7 7AG,51.4866625,0.032367461
The Co-operative Food BR7 6AZ,BR7 6AZ,51.42104272,0.069044849
Sainsburys Local SW4 8EU,SW4 8EU,51.44945487,-0.131072366
Sainsburys Local EC1M 3HA,EC1M 3HA,51.5191535,-0.10575231
Tesco Express EC1V 4DU,EC1V 4DU,51.52391289,-0.102547735
Tesco Express NW9 5AA,NW9 5AA,51.59632061,-0.242919718
The Co-operative Food RM5 2PU,RM5 2PU,51.60533839,0.158182864
Tesco Express Esso UB8 2HL,UB8 2HL,51.52574233,-0.482372949
Sainsburys Local CR0 1QD,CR0 1QD,51.37175654,-0.100285473
Tesco Express CR9 2BY,CR9 2BY,51.3796582,-0.099382088
Tesco Express N1 3JE,N1 3JE,51.53810544,-0.085814632
Sainsburys Local SE8 3BU,SE8 3BU,51.4810545,-0.021889675
Sainsburys Local W5 4QT,W5 4QT,51.50225339,-0.306629192
Tesco Express E3 4LU,E3 4LU,51.52628608,-0.028354067
Tesco Express SE9 6SX,SE9 6SX,51.45973844,0.049237618
Marks and Spencer BP N12 0AP,N12 0AP,51.60102938,-0.174778944
Marks and Spencer BP RM11 3UJ,RM11 3UJ,51.57983022,0.240395044
Sainsburys Local SM6 7HW,SM6 7HW,51.37925625,-0.155753493
Tesco Express UB1 2QQ,UB1 2QQ,51.53185058,-0.372342634
Marks and Spencer BP UB6 8ST,UB6 8ST,51.53503492,-0.346639891
Sainsburys Local SE10 0FY,SE10 0FY,51.486013,0.009328732
The Co-operative Food SE10 0FE,SE10 0FE,51.48754793,0.002540428
Tesco Express SE5 0RW,SE5 0RW,51.47454476,-0.095060555
Tesco Express SE5 7EJ,SE5 7EJ,51.47789521,-0.081491616
Tesco Express Esso SE23 3PE,SE23 3PE,51.44081994,-0.059475106
Tesco Express SE10 0ES,SE10 0ES,51.50075768,0.006058587
The Co-operative Food SE10 0ER,SE10 0ER,51.49703974,0.011771928
Sainsburys Local E15 4JF,E15 4JF,51.5440532,0.013179184
Tesco Express E8 1LA,E8 1LA,51.5486304,-0.061238011
Marks and Spencer BP W6 8BJ,W6 8BJ,51.49064082,-0.218294065
Tesco Express W6 9LH,W6 9LH,51.48772673,-0.225934387
Tesco Express Esso EN8 7RS,EN8 7RS,51.68050388,-0.03444986
Tesco Express SW6 6BW,SW6 6BW,51.48134043,-0.212754963
Tesco Express TW13 6AH,TW13 6AH,51.44083159,-0.388304752
Budgens SW16 6SJ,SW16 6SJ,51.42511364,-0.148261472
Tesco Express HA1 4HS,HA1 4HS,51.58267389,-0.354008939
Marks and Spencer BP HA1 3BS,HA1 3BS,51.57897509,-0.341626735
Tesco Express UB3 4BH,UB3 4BH,51.50366304,-0.419622565
Tesco Express SE24 9QH,SE24 9QH,51.46233489,-0.098120598
Marks and Spencer BP TW5 9BA,TW5 9BA,51.47609614,-0.396056787
Sainsburys Local TW5 0PT,TW5 0PT,51.4803624,-0.373322955
Tesco Express E17 6JR,E17 6JR,51.58727999,-0.03703533
Sainsburys Local DA7 6HJ,DA7 6HJ,51.46695529,0.157986882
