Origin,Destination,Distance (km),Duration (mins),Activity
Barking and Dagenham,Sainsburys Local SW11 3BX,27.3,84,Retail
Barking and Dagenham,Tesco Express SE13 6RT,26.1,83,Retail
Barking and Dagenham,Sainsburys Local W2 1HB,24.8,75,Retail
Barking and Dagenham,Marks and Spencer Hospital NW3 2QG,24.6,75,Retail
Barking and Dagenham,Budgens SE6 1TP,34.0,87,Retail
Barking and Dagenham,Little Waitrose Shell W5 3HJ,34.8,99,Retail
Barking and Dagenham,Budgens HA5 2ET,44.7,117,Retail
Barking and Dagenham,The Co-operative Food E5 9BQ,21.1,86,Retail
Barking and Dagenham,Tesco Express SE1 8EQ,22.0,55,Retail
Barking and Dagenham,The Co-operative Food E1 4NX,13.3,42,Retail
Barking and Dagenham,Budgens SE27 9QY,32.5,94,Retail
Barking and Dagenham,Sainsburys Local E3 3NT,11.2,31,Retail
Barking and Dagenham,Sainsburys Local N4 2UX,20.6,72,Retail
Barking and Dagenham,Tesco Express E14 9AB,15.9,52,Retail
Barking and Dagenham,Sainsburys Local NW1 9UJ,21.8,73,Retail
Barking and Dagenham,Tesco Express E14 3NX,17.3,64,Retail
Barking and Dagenham,Marks and Spencer BP CR2 8JH,43.4,87,Retail
Barking and Dagenham,Sainsburys Local EC1R 4AE,21.0,67,Retail
Barking and Dagenham,Tesco Express RM10 8AJ,2.9,18,Retail
Barking and Dagenham,Tesco Express SE1 7AA,21.3,66,Retail
Barking and Dagenham,The Co-operative Food CR0 7NN,37.6,110,Retail
Barking and Dagenham,Marks and Spencer BP TW5 0BT,38.7,108,Retail
Barking and Dagenham,Tesco Express Esso EN3 5UT,31.0,93,Retail
Barking and Dagenham,Sainsburys Local SW8 5BP,25.3,84,Retail
Barking and Dagenham,Tesco Express Esso HA2 9DL,43.9,108,Retail
Barking and Dagenham,Tesco Express Esso IG11 9BG,3.2,19,Retail
Barking and Dagenham,Tesco Express SW1P 2BW,21.7,66,Retail
Barking and Dagenham,Marks and Spencer BP SW20 8LR,33.0,93,Retail
Barking and Dagenham,Sainsburys Local W3 6NR,32.4,92,Retail
Barking and Dagenham,Tesco Express Esso CR0 6AD,38.5,82,Retail
Barking and Dagenham,Tesco Express Esso CR0 7ER,40.3,86,Retail
Barking and Dagenham,Sainsburys Local E1 8NN,16.0,46,Retail
Barking and Dagenham,Sainsburys Local E1 8AA,16.1,46,Retail
Barking and Dagenham,Tesco Express E1 8AL,16.2,49,Retail
Barking and Dagenham,Tesco Express EC3A 7DH,16.3,49,Retail
Barking and Dagenham,The Co-operative Food SE9 2HB,35.6,89,Retail
Barking and Dagenham,Sainsburys Local SW12 8SY,26.0,77,Retail
Barking and Dagenham,Waitrose W2 3HJ,24.6,66,Retail
Barking and Dagenham,Tesco Express SE6 4LG,29.1,93,Retail
Barking and Dagenham,The Co-operative Food SE16 4AU,18.9,51,Retail
Barking and Dagenham,The Co-operative Food SE1 2DE,19.2,55,Retail
Barking and Dagenham,Tesco Express E3 3QG,12.2,43,Retail
Barking and Dagenham,Tesco Express CR0 2JJ,38.7,86,Retail
Barking and Dagenham,The Co-operative Food SE4 2BN,22.1,75,Retail
Barking and Dagenham,The Co-operative Food SE6 2RP,30.8,98,Retail
Barking and Dagenham,Sainsburys Local SE6 4RE,28.0,79,Retail
Barking and Dagenham,Sainsburys Local SE7 7AG,17.1,59,Retail
Barking and Dagenham,The Co-operative Food BR7 6AZ,37.4,92,Retail
Barking and Dagenham,Sainsburys Local SW4 8EU,28.7,80,Retail
Barking and Dagenham,Sainsburys Local EC1M 3HA,19.4,57,Retail
Barking and Dagenham,Tesco Express EC1V 4DU,18.9,63,Retail
Barking and Dagenham,Tesco Express NW9 5AA,35.1,97,Retail
Barking and Dagenham,The Co-operative Food RM5 2PU,12.4,62,Retail
Barking and Dagenham,Tesco Express Esso UB8 2HL,53.5,138,Retail
Barking and Dagenham,Sainsburys Local CR0 1QD,38.1,77,Retail
Barking and Dagenham,Tesco Express CR9 2BY,37.7,78,Retail
Barking and Dagenham,Tesco Express N1 3JE,19.0,65,Retail
Barking and Dagenham,Sainsburys Local SE8 3BU,21.0,64,Retail
Barking and Dagenham,Sainsburys Local W5 4QT,34.8,92,Retail
Barking and Dagenham,Tesco Express E3 4LU,12.5,37,Retail
Barking and Dagenham,Tesco Express SE9 6SX,20.9,69,Retail
Barking and Dagenham,Marks and Spencer BP N12 0AP,27.5,96,Retail
Barking and Dagenham,Marks and Spencer BP RM11 3UJ,12.7,59,Retail
Barking and Dagenham,Sainsburys Local SM6 7HW,38.4,98,Retail
Barking and Dagenham,Tesco Express UB1 2QQ,42.7,109,Retail
Barking and Dagenham,Marks and Spencer BP UB6 8ST,38.2,98,Retail
Barking and Dagenham,Sainsburys Local SE10 0FY,15.9,53,Retail
Barking and Dagenham,The Co-operative Food SE10 0FE,15.8,56,Retail
Barking and Dagenham,Tesco Express SE5 0RW,22.1,87,Retail
Barking and Dagenham,Tesco Express SE5 7EJ,25.4,76,Retail
Barking and Dagenham,Tesco Express Esso SE23 3PE,24.9,76,Retail
Barking and Dagenham,Tesco Express SE10 0ES,13.7,41,Retail
Barking and Dagenham,The Co-operative Food SE10 0ER,14.4,49,Retail
Barking and Dagenham,Sainsburys Local E15 4JF,11.5,52,Retail
Barking and Dagenham,Tesco Express E8 1LA,18.8,73,Retail
Barking and Dagenham,Marks and Spencer BP W6 8BJ,27.8,81,Retail
Barking and Dagenham,Tesco Express W6 9LH,28.9,86,Retail
Barking and Dagenham,Tesco Express Esso EN8 7RS,30.7,93,Retail
Barking and Dagenham,Tesco Express SW6 6BW,29.9,96,Retail
Barking and Dagenham,Tesco Express TW13 6AH,44.1,126,Retail
Barking and Dagenham,Budgens SW16 6SJ,29.3,96,Retail
Barking and Dagenham,Tesco Express HA1 4HS,39.2,96,Retail
Barking and Dagenham,Marks and Spencer BP HA1 3BS,38.1,91,Retail
Barking and Dagenham,Tesco Express UB3 4BH,42.8,99,Retail
Barking and Dagenham,Tesco Express SE24 9QH,24.5,73,Retail
Barking and Dagenham,Marks and Spencer BP TW5 9BA,43.1,115,Retail
Barking and Dagenham,Sainsburys Local TW5 0PT,39.6,113,Retail
Barking and Dagenham,Tesco Express E17 6JR,15.0,48,Retail
Barking and Dagenham,Sainsburys Local DA7 6HJ,40.3,91,Retail
Barking and Dagenham,Tesco Express SM1 3EH,36.2,101,Retail
Barking and Dagenham,Sainsburys Local EN4 0DB,37.9,98,Retail
Barking and Dagenham,Tesco Express SE10 8EF,20.2,61,Retail
Barking and Dagenham,Sainsburys Local N7 6LE,22.1,63,Retail
Barking and Dagenham,The Co-operative Food PFS N8 8SE,21.9,67,Retail
Barking and Dagenham,Sainsburys Local SW17 8BS,27.8,77,Retail
Barking and Dagenham,The Co-operative Food N1 6SU,20.2,71,Retail
Barking and Dagenham,The Co-operative Food SW20 0AX,36.7,87,Retail
Barking and Dagenham,Tesco Express E2 7QU,17.8,57,Retail
Barking and Dagenham,Tesco Express SE11 6HR,22.9,76,Retail
Barking and Dagenham,Sainsburys Local E1 7HS,16.2,48,Retail
Barking and Dagenham,The Co-operative Food SE18 4LP,21.6,75,Retail
Barking and Dagenham,The Co-operative Food KT2 5JG,42.8,125,Retail
Barking and Dagenham,Tesco Express E14 7LW,14.2,41,Retail
Barking and Dagenham,The Co-operative Food N7 9DF,23.9,75,Retail
Barking and Dagenham,Sainsburys Local N7 9BA,23.2,66,Retail
Barking and Dagenham,Sainsburys Local N7 9SU,23.9,68,Retail
Barking and Dagenham,Tesco Express W1U 8NN,22.9,66,Retail
Barking and Dagenham,Marks and Spencer BP NW7 2PT,37.2,95,Retail
Barking and Dagenham,The Co-operative Food PFS EC1V 1JQ,19.7,67,Retail
Barking and Dagenham,Sainsburys Local SM4 5RL,34.2,96,Retail
Barking and Dagenham,Tesco Express E14 9NA,16.0,53,Retail
Barking and Dagenham,Marks and Spencer BP SE9 4QN,23.8,83,Retail
Barking and Dagenham,Marks and Spencer BP EN5 1EQ,39.7,104,Retail
Barking and Dagenham,Sainsburys Local KT2 7AZ,38.5,96,Retail
Barking and Dagenham,Marks and Spencer BP W3 0TE,34.5,95,Retail
Barking and Dagenham,Tesco Express DA8 3PL,28.3,96,Retail
Barking and Dagenham,Sainsburys Local UB5 5HF,39.2,92,Retail
Barking and Dagenham,Tesco Express UB2 5SE,44.2,122,Retail
Barking and Dagenham,Marks and Spencer Hospital HA1 3UJ,37.2,93,Retail
Barking and Dagenham,Tesco Express EC1V 3AF,18.5,62,Retail
